date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:12:43	32796/32796	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20May%202016%2009:56:47%20GMT	https://pbs.twimg.com/profile_images/737221709267374081/sdwta9Oh.jpg	C:/My%20Web%20Sites/copia/pbs.twimg.com/profile_images/737221709267374081/sdwta9Oh.jpg	(from https://bryan-herrera.netlify.app/proyectos/responsive-social-platform-ui/)
20:12:43	12993/12993	---M-Z	200	added ('OK')	application/javascript	etag:W/%2232c1-wfyjCP0kkgY2xLXCh1cDzebLzrI%22	https://cdn.jsdelivr.net/gh/alpinejs/alpine@v1.9.4/dist/alpine.js	C:/My%20Web%20Sites/copia/cdn.jsdelivr.net/gh/alpinejs/alpine@v1.9.4/dist/alpine.js	(from https://bryan-herrera.netlify.app/proyectos/responsive-social-platform-ui/)
20:12:44	2380/2380	---M--	200	added ('OK')	image/png	etag:W/%2294c-1630333f5d8%22	https://tenor.com/assets/img/favicon/apple-touch-icon-57x57.png	C:/My%20Web%20Sites/copia/tenor.com/assets/img/favicon/apple-touch-icon-57x57.png	(from https://media1.tenor.com/images/07bb5d84ddafd6d444312adbd2e471c8/tenor.gif?itemid=14013495)
20:12:45	2494/2494	---M--	200	added ('OK')	image/png	etag:W/%229be-1630333f5d8%22	https://tenor.com/assets/img/favicon/apple-touch-icon-60x60.png	C:/My%20Web%20Sites/copia/tenor.com/assets/img/favicon/apple-touch-icon-60x60.png	(from https://media1.tenor.com/images/07bb5d84ddafd6d444312adbd2e471c8/tenor.gif?itemid=14013495)
20:12:45	3939/3939	---M--	200	added ('OK')	image/png	etag:W/%22f63-1630333f5d8%22	https://tenor.com/assets/img/favicon/apple-touch-icon-72x72.png	C:/My%20Web%20Sites/copia/tenor.com/assets/img/favicon/apple-touch-icon-72x72.png	(from https://media1.tenor.com/images/07bb5d84ddafd6d444312adbd2e471c8/tenor.gif?itemid=14013495)
20:12:46	1301/1301	---M--	200	added ('OK')	image/png	etag:W/%22515-1630333f5d8%22	https://tenor.com/assets/img/favicon/favicon-32x32.png	C:/My%20Web%20Sites/copia/tenor.com/assets/img/favicon/favicon-32x32.png	(from https://media1.tenor.com/images/07bb5d84ddafd6d444312adbd2e471c8/tenor.gif?itemid=14013495)
20:12:46	979/979	---M--	200	added ('OK')	image/png	etag:W/%223d3-1630333f5d8%22	https://tenor.com/assets/img/favicon/favicon-16x16.png	C:/My%20Web%20Sites/copia/tenor.com/assets/img/favicon/favicon-16x16.png	(from https://media1.tenor.com/images/07bb5d84ddafd6d444312adbd2e471c8/tenor.gif?itemid=14013495)
20:12:46	30664/30664	---M-Z	200	added ('OK')	text/css	etag:W/%2277c8-17b36a53590%22	https://tenor.com/assets/dist/cdn-html.min.css?3d0f506ddeeab0e553c4f7243ba9a5ae	C:/My%20Web%20Sites/copia/tenor.com/assets/dist/cdn-html.min900a.css	(from https://media1.tenor.com/images/07bb5d84ddafd6d444312adbd2e471c8/tenor.gif?itemid=14013495)
20:12:47	480205/480205	---M-Z	200	added ('OK')	application/javascript	etag:W/%22753cd-17b36a53590%22	https://tenor.com/assets/dist/cdn-html.min.js?5911b10b1ec5cbc6a088b345c05fa484	C:/My%20Web%20Sites/copia/tenor.com/assets/dist/cdn-html.min7208.js	(from https://media1.tenor.com/images/07bb5d84ddafd6d444312adbd2e471c8/tenor.gif?itemid=14013495)
20:12:48	5923/5923	---M-Z	200	added ('OK')	text/html	etag:W/%221723-BL3S0jXrPK61qfHWTaSQx20gdTU%22	https://media1.tenor.com/images/07bb5d84ddafd6d444312adbd2e471c8/tenor.gif	C:/My%20Web%20Sites/copia/media1.tenor.com/images/07bb5d84ddafd6d444312adbd2e471c8/tenor.html	(from https://media1.tenor.com/images/07bb5d84ddafd6d444312adbd2e471c8/tenor.gif?itemid=14013495)
20:12:49	134208/134208	---M--	200	added ('OK')	image/jpeg	etag:%2208217f1f9b9910e0c0508b3995d7cf5b%22	https://cdn4.vectorstock.com/i/1000x1000/55/43/monkey-logo-vector-19555543.jpg	C:/My%20Web%20Sites/copia/cdn4.vectorstock.com/i/1000x1000/55/43/monkey-logo-vector-19555543.jpg	(from https://bryan-herrera.netlify.app/proyectos/redmonkeylayout/)
